Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic_Regression,0.8512990602542841,0.9042670945243145,0.7399328859060402,0.6005447117566954,0.6629917313956402,0.5740147511229249
Decision_Tree,0.8124930901050305,0.7431483442564504,0.6168741355463347,0.6073536087153881,0.6120768526989936,0.48847921634230473
KNN,0.829519071310116,0.8591868294185216,0.6676813800101471,0.5973672265093055,0.6305701964542405,0.5215677868474184
Naive_Bayes,0.6166943062465451,0.8400945509849912,0.38111361926260345,0.9196550158874263,0.5389014496608592,0.3826292564729559
Random_Forest,0.8533996683250414,0.9012847605037004,0.7326259946949603,0.6268724466636405,0.6756360078277887,0.584623731151347
XGBoost,0.8736318407960199,0.927990491030076,0.7831196581196581,0.6654561960962324,0.7195092024539878,0.6421726174415203
